airquality_raw,city,dust,humidity,light,sound,source,temperature,timestamp
26.6077109466041,San Francisco,1227.0813715233,24.5842649326937,142.983876774241,1856.82013596998,ci4yfbbdb000d03zzoq8kjdl0,29.9799680625532,2015-03-15T00:00:00.000Z
26.1055555555556,,1376.18462511671,27.2806022408964,1.17647058823529,1911.70644257703,ci4yfbbdb000d03zzoq8kjdl0,26.6504715219421,2015-03-15T02:00:00.000Z
27.8365751405457,,1233.08741772762,31.8293916312446,0.0,1879.23020293432,ci4yfbbdb000d03zzoq8kjdl0,25.095887254902,2015-03-15T04:00:00.000Z
26.7307490489309,,1242.96376651253,33.6752003804277,0.424242424242424,1928.36051423324,ci4yfbbdb000d03zzoq8kjdl0,24.1939179128952,2015-03-15T06:00:00.000Z
28.2986406094765,,1335.33291565292,34.1853618787428,0.0,1906.78685476619,ci4yfbbdb000d03zzoq8kjdl0,23.0952283838814,2015-03-15T08:00:00.000Z
27.0559057777585,,1265.37706168376,35.4783464645162,0.152173913043478,1863.83896139183,ci4yfbbdb000d03zzoq8kjdl0,21.9619119503862,2015-03-15T10:00:00.000Z
28.4451009710104,,1401.45273462958,36.9958159100961,0.249554367201426,1934.49550301779,ci4yfbbdb000d03zzoq8kjdl0,21.7200046685341,2015-03-15T12:00:00.000Z
23.3787074697789,,1381.26440223203,51.2269770242984,61.6246145389003,1911.50115783687,ci4yfbbdb000d03zzoq8kjdl0,20.1649463565535,2015-03-15T14:00:00.000Z
22.2240882133739,,1433.9767161595,54.9006534867249,226.250285428857,1872.47415547416,ci4yfbbdb000d03zzoq8kjdl0,20.0814971139971,2015-03-15T16:00:00.000Z
22.2079112916069,,1424.21642169003,42.5564433694325,426.146376811594,1868.39510803206,ci4yfbbdb000d03zzoq8kjdl0,22.3555450708712,2015-03-15T18:00:00.000Z
23.0268170426065,,1368.49398131693,38.8111215538847,2078.86026999316,1943.34433811802,ci4yfbbdb000d03zzoq8kjdl0,25.054376851219,2015-03-15T20:00:00.000Z
22.418412297579,,1353.77093837181,38.4393922358506,309.674895783229,1846.77657527658,ci4yfbbdb000d03zzoq8kjdl0,23.5213584255251,2015-03-15T22:00:00.000Z
20.6484346571303,,1280.63579579177,33.2209055618295,79.6974284773198,1927.23765606374,ci4yfbbdb000d03zzoq8kjdl0,22.1921553265575,2015-03-16T00:00:00.000Z
22.0373108825177,,1387.54606225729,40.7300384202264,2.34868421052632,1989.1326565804,ci4yfbbdb000d03zzoq8kjdl0,20.6775373262215,2015-03-16T02:00:00.000Z
22.9598473748474,,1459.55946082112,47.5787573260073,0.774038461538461,1841.35597680098,ci4yfbbdb000d03zzoq8kjdl0,20.2755680708181,2015-03-16T04:00:00.000Z
24.0072727224043,,1281.73508077619,50.0656524011239,0.172839506172839,1873.33985015959,ci4yfbbdb000d03zzoq8kjdl0,20.1318070461053,2015-03-16T06:00:00.000Z
24.8758936202686,,1243.14122106227,50.4769333791209,0.0875,1907.40894688645,ci4yfbbdb000d03zzoq8kjdl0,20.1151407967033,2015-03-16T08:00:00.000Z
25.4147312320775,,1298.21178206686,52.3581547808252,0.141414141414141,1781.12004782205,ci4yfbbdb000d03zzoq8kjdl0,19.8766029395441,2015-03-16T10:00:00.000Z
26.2348977796135,,1313.02882901218,52.219629274625,0.424242424242424,1795.43547222081,ci4yfbbdb000d03zzoq8kjdl0,19.7441509161633,2015-03-16T12:00:00.000Z
30.7087280555702,,1328.56347949404,51.3433264162738,40.5627603098656,1902.0610466142,ci4yfbbdb000d03zzoq8kjdl0,20.0634053651027,2015-03-16T14:00:00.000Z
29.2073696145125,,1269.64347260015,51.4723365457294,222.481547619048,1884.2873393802,ci4yfbbdb000d03zzoq8kjdl0,21.0585657596372,2015-03-16T16:00:00.000Z
25.7794533365186,,1214.29430592258,40.7113852295048,377.310468348077,1916.79043473435,ci4yfbbdb000d03zzoq8kjdl0,22.8982036791711,2015-03-16T18:00:00.000Z
26.6705591068336,,1168.33420379149,36.0959749654848,454.851878386682,1879.31269561956,ci4yfbbdb000d03zzoq8kjdl0,24.4220528980823,2015-03-16T20:00:00.000Z
25.6349326599327,,1448.41427819865,41.0957617845118,192.126406926407,1855.32356902357,ci4yfbbdb000d03zzoq8kjdl0,23.186167027417,2015-03-16T22:00:00.000Z
28.1767720306513,,184.082738505747,21.6205938697318,1476.66039272031,1872.61704980843,ci4yhy9yy000f03zznho5nm7c,32.7904310344828,2015-03-15T00:00:00.000Z
38.9249042145594,San Francisco,805.033477011494,29.2079885057471,14.5598180076628,1887.62183908046,ci4yhy9yy000f03zznho5nm7c,28.9068342911877,2015-03-15T02:00:00.000Z
39.05469348659,,507.696367337165,31.2681657088123,0.0,1858.13716475096,ci4yhy9yy000f03zznho5nm7c,26.713591954023,2015-03-15T04:00:00.000Z
34.9543582375479,,280.894921934866,32.0436135057471,0.0,1844.55862068966,ci4yhy9yy000f03zznho5nm7c,25.0374545019157,2015-03-15T06:00:00.000Z
41.7628352490421,,575.088424329502,31.4627346743295,0.0,2236.21896551724,ci4yhy9yy000f03zznho5nm7c,24.2537595785441,2015-03-15T08:00:00.000Z
37.8218390804598,,711.53303591954,32.0175622605364,0.0,2430.67298850575,ci4yhy9yy000f03zznho5nm7c,23.6858764367816,2015-03-15T10:00:00.000Z
35.95780651341,,394.736939655172,30.1997413793104,0.0,1938.34540229885,ci4yhy9yy000f03zznho5nm7c,23.4194396551724,2015-03-15T12:00:00.000Z
