timestamp,airquality_raw,city,dust,humidity,light,sound,temperature
2015-03-21 08:00:00,89,Shanghai,5781.86,87.5,9488,2820,23.2
2015-03-21 09:00:00,83,Shanghai,5719.41,80.0,36502,2832,33.9
2015-03-21 10:00:00,100,Shanghai,26703.68,65.3,37485,2828,39.9
2015-03-21 11:00:00,83,Shanghai,44702.15,72.4,9840,2868,40.6
2015-03-21 12:00:00,89,Shanghai,35492.96,70.8,10861,2864,42.0
2015-03-21 13:00:00,77,Shanghai,13752.6,57.1,10861,2844,43.1
2015-03-21 14:00:00,77,Shanghai,15071.39,51.1,8734,2868,42.2
2015-03-21 15:00:00,77,Shanghai,31623.01,51.9,5782,2864,40.8
2015-03-21 16:00:00,95,Shanghai,4229.31,67.1,2713,2864,36.8
2015-03-21 17:00:00,89,Shanghai,9241.67,80.1,1005,2864,31.2
2015-03-21 18:00:00,109,Shanghai,45200.77,86.9,88,2860,26.7
2015-03-21 19:00:00,95,Shanghai,39749.6,86.9,71,2876,25.9
2015-03-21 20:00:00,95,Shanghai,37847.82,89.6,71,2852,25.3
2015-03-21 21:00:00,97,Shanghai,42314.03,94.1,14,2856,24.9
2015-03-21 22:00:00,97,Shanghai,35617.25,99.4,14,2852,24.5
2015-03-21 23:00:00,97,Shanghai,22003.65,99.9,14,2852,24.0
2015-03-22 00:00:00,161,Shanghai,21162.32,99.9,14,2852,23.5
2015-03-22 01:00:00,95,Shanghai,11426.0,99.9,0,2848,23.3
2015-03-22 02:00:00,87,Shanghai,9414.72,99.9,0,2848,22.8
2015-03-22 03:00:00,85,Shanghai,9546.66,99.9,0,2844,22.8
2015-03-22 04:00:00,84,Shanghai,8092.64,99.9,0,2844,22.4
2015-03-22 05:00:00,84,Shanghai,5567.8,95.3,104,2844,22.5
2015-03-22 06:00:00,75,Shanghai,4901.38,81.5,1598,2840,22.1
2015-03-22 07:00:00,70,Shanghai,4563.0,66.3,17227,2844,28.0
2015-03-22 08:00:00,55,Shanghai,4505.16,46.8,33830,2888,32.7
2015-03-22 09:00:00,48,Shanghai,4022.23,38.4,36160,2892,36.4
2015-03-22 10:00:00,52,Shanghai,4463.47,27.1,36364,2892,39.6
2015-03-22 11:00:00,54,Shanghai,5948.35,25.4,36957,2900,40.8
2015-03-22 12:00:00,49,Shanghai,4848.83,44.3,36491,2896,42.5
2015-03-22 13:00:00,48,Shanghai,4979.9,42.9,36564,2892,42.4
2015-03-22 14:00:00,49,Shanghai,15238.36,42.6,9022,2888,40.9
2015-03-22 15:00:00,49,Shanghai,3725.83,45.0,6384,2892,36.6
2015-03-22 16:00:00,49,Shanghai,3815.79,46.4,3638,2880,31.8
2015-03-22 17:00:00,45,Shanghai,3338.69,48.9,1261,2884,27.9
2015-03-22 18:00:00,49,Shanghai,3885.56,70.7,104,2852,27.5
2015-03-22 19:00:00,55,Shanghai,3707.78,75.7,14,2872,26.9
2015-03-22 20:00:00,55,Shanghai,5068.11,81.6,14,2860,25.8
2015-03-22 21:00:00,56,Shanghai,3641.93,82.9,14,2852,25.1
2015-03-22 22:00:00,56,Shanghai,3572.1,81.4,14,2844,24.4
