airquality_raw,city,dust,humidity,light,sound,temperature,timestamp
37.8312380730519,Shanghai,1602.95401621919,65.4824350275337,222.676774744129,1607.6907199317,18.3014496537273,2015-02-15T00:00:00.000Z
37.8570724975664,Shanghai,1594.41742120594,63.760344476872,816.735454182574,1644.50097757676,19.8690913508556,2015-02-15T02:00:00.000Z
36.1764248878752,Shanghai,1421.18133777368,57.595854610823,1115.90230521128,1679.61465958459,21.808837083249,2015-02-15T04:00:00.000Z
35.4384315091607,Shanghai,1318.87043557388,53.7531712430213,546.507444831572,1666.84976300065,22.2573930858826,2015-02-15T06:00:00.000Z
38.3944503773081,Shanghai,1378.19672197679,52.9800919823228,295.516138213882,1641.70410753542,22.4246595477358,2015-02-15T08:00:00.000Z
43.0688930455448,Shanghai,1502.31062692809,55.3473523420696,0.465095228840291,1618.83626768219,21.4506725334139,2015-02-15T10:00:00.000Z
39.7699526861264,Shanghai,1604.38838461833,56.0260370614864,0.32593885243613,1639.2226704421,21.0208096080524,2015-02-15T12:00:00.000Z
36.4700919778934,Shanghai,1828.42963685341,56.5483697274702,0.136416795810849,1635.78796577847,20.5063379924021,2015-02-15T14:00:00.000Z
36.1660161580796,Shanghai,2000.02447175597,57.3317362643475,0.0467520027864856,1568.10872384419,20.1366163623321,2015-02-15T16:00:00.000Z
33.8747132061202,Shanghai,2172.89309463329,56.9940953770802,0.0221848904607525,1526.02534580244,19.3631364501607,2015-02-15T18:00:00.000Z
32.31011562662,Shanghai,2129.9053034361,56.5361389626514,0.0275344961551858,1512.4958630459,18.523812276175,2015-02-15T20:00:00.000Z
31.9661110479255,Shanghai,2356.48151106322,54.1715030502371,53.685287715369,1538.86028020029,18.1240014556034,2015-02-15T22:00:00.000Z
22.5579765698816,Singapore,1141.34950407983,66.7238629978264,1675.01189748192,1255.12513424487,28.8580872118068,2015-02-15T00:00:00.000Z
21.7444858725616,Singapore,1155.31801058587,57.6424707334956,3220.51924881388,1295.83299549972,31.3172717180152,2015-02-15T02:00:00.000Z
22.3298899885337,Singapore,1170.10814380303,50.3941385368242,3634.45323805316,1332.45434348452,33.4893089682073,2015-02-15T04:00:00.000Z
22.5860821081224,Singapore,1146.24039070692,47.910393576578,3329.36490797611,1382.56483488709,34.5515894109247,2015-02-15T06:00:00.000Z
22.7313521269555,Singapore,1079.16330788617,49.3681398822063,2951.7987449575,1346.6944313049,34.6059139725486,2015-02-15T08:00:00.000Z
22.6495652204423,Singapore,1076.07046678478,54.9773071221909,475.490444992844,1294.36712953879,31.8933826998145,2015-02-15T10:00:00.000Z
22.35263782117,Singapore,1137.43532250238,61.875572476166,0.581777777777778,1271.24332680088,29.7521227269184,2015-02-15T12:00:00.000Z
21.8044719488841,Singapore,1186.37406117746,65.7917703007604,0.0,1251.84437158615,29.0398154021723,2015-02-15T14:00:00.000Z
21.2365990422632,Singapore,1208.44235194325,67.2155092035453,0.0,1227.92172210719,28.7076409471119,2015-02-15T16:00:00.000Z
21.0297023563304,Singapore,1112.93208964876,68.475806514577,0.0,1208.12855431368,28.4095376127932,2015-02-15T18:00:00.000Z
21.623385939299,Singapore,1115.03269715644,69.7392766202614,0.0,1213.66334161387,28.1379802939992,2015-02-15T20:00:00.000Z
23.0113761321778,Singapore,1174.39187418595,71.2363918896302,92.5802316339617,1243.10221252672,28.0124964738309,2015-02-15T22:00:00.000Z
24.4478910357253,Bangalore,2665.43690332223,25.1940635122705,57.9190807390766,1211.5924855793,23.2935361018283,2015-02-15T00:00:00.000Z
24.5584049922227,Bangalore,2859.89681431851,23.4333143398979,1581.82951770967,1324.21290154257,24.7564003899041,2015-02-15T02:00:00.000Z
26.1764940219734,Bangalore,3405.04051567842,23.9869087342888,3690.90876880637,1367.14733092984,28.1297993409035,2015-02-15T04:00:00.000Z
24.5837785719834,Bangalore,3576.35027242671,22.7350598207439,2336.32740087572,1429.92416512924,28.8734311509428,2015-02-15T06:00:00.000Z
24.5742303904264,Bangalore,3147.96872146798,19.9858603945364,3184.59341602009,1450.50912982955,30.0764845304721,2015-02-15T08:00:00.000Z
23.1007904211426,Bangalore,3097.71371658759,17.6540171110105,1668.16410894695,1503.99047133056,30.537431729168,2015-02-15T10:00:00.000Z
27.5249825825729,Bangalore,3023.37610477725,19.2373493160075,106.915416736166,1568.19449310214,28.3513073491944,2015-02-15T12:00:00.000Z
28.5173878396491,Bangalore,3387.02996910631,21.9210936916484,0.0,1546.19667614835,26.8774152938583,2015-02-15T14:00:00.000Z
26.7299658270468,Bangalore,2939.252624561,27.1843838214957,0.784179758860066,1487.49476610338,25.8360913414897,2015-02-15T16:00:00.000Z
24.4264145402039,Bangalore,2517.90111137679,31.4675249412371,0.01495270064083,1348.39593306384,24.5363586152846,2015-02-15T18:00:00.000Z
23.9752826142899,Bangalore,2101.50482936825,33.2611259991349,0.0,1334.31187938913,23.7052002070316,2015-02-15T20:00:00.000Z
24.351019509318,Bangalore,2029.59713938181,32.8919998814367,0.0,1325.80365227933,23.0477179104014,2015-02-15T22:00:00.000Z
38.5416237626674,Geneva,1139.92256288562,53.5588996308188,0.0,1622.50787016203,10.8913626989198,2015-02-15T00:00:00.000Z
38.8558291691474,Geneva,1178.10436888078,54.3158633142188,0.0,1608.89212713313,10.5846987315935,2015-02-15T02:00:00.000Z
39.3120284800383,Geneva,1265.54159739947,54.4655453166166,0.0,1623.38225265242,10.6867941359349,2015-02-15T04:00:00.000Z
37.6081915352395,Geneva,1355.95595908609,54.9312409213747,66.3807682659556,1616.99792182847,10.4855972946979,2015-02-15T06:00:00.000Z
