airquality_raw,city,dust,humidity,light,sound,temperature,timestamp,noise_db
23.4430761288447,San Francisco,721.071738721776,22.6212383748385,799.233231182466,1617.63212690037,25.9396896390003,2015-02-01 00:00:00,74.74258760502585
24.1540532578652,San Francisco,700.48053099631,26.7753130843055,114.898000137285,1646.60405587887,24.1185117854487,2015-02-01 01:00:00,75.20034408288615
25.477283353644,San Francisco,820.760081764286,38.6619165782937,0.673491936202442,1623.73216021116,21.6479124560527,2015-02-01 02:00:00,74.83896813133633
26.2770994437274,San Francisco,1047.10787092438,43.9238896856579,0.658010057471264,1623.1603894901,20.6314269057143,2015-02-01 03:00:00,74.82993415394358
27.2008908578677,San Francisco,938.658596470734,44.0716491714628,0.310268308937872,1612.65717234782,20.427018594515,2015-02-01 04:00:00,74.66398332309555
26.0138509350664,San Francisco,875.949696804382,51.9473789295397,0.373040752351097,1565.6562398772,19.4083555751385,2015-02-01 05:00:00,73.92136859005976
25.5535885739714,San Francisco,901.576104073885,54.527558965271,0.316877394636015,1559.42915099722,18.9913705227584,2015-02-01 06:00:00,73.82298058575607
25.3360738350202,San Francisco,813.94453156827,55.6691480333035,0.035,1558.68085750729,18.6446730038121,2015-02-01 07:00:00,73.81115754861518
26.2004178436987,San Francisco,822.319045079215,55.6909590278975,0.0108126721763085,1538.97001364263,18.391867089666,2015-02-01 08:00:00,73.49972621555355
25.9127987699563,San Francisco,874.982881257714,57.7579393782981,0.00377155172413793,1547.98773080441,17.791788136906,2015-02-01 09:00:00,73.64220614670967
23.5178743759033,San Francisco,863.050351993353,60.0674746899234,0.00358974358974359,1553.16243194123,17.3597839984019,2015-02-01 10:00:00,73.72396642467143
23.3516258541788,San Francisco,855.715581126336,59.0731944752885,0.00741738505747127,1530.98475657924,17.2278236296151,2015-02-01 11:00:00,73.37355915395199
23.354820825791,San Francisco,852.391794411875,58.5912938374709,0.0036745406824147,1530.71857523793,17.0000589292558,2015-02-01 12:00:00,73.36935348875929
24.0879751644188,San Francisco,867.442307338745,57.9356989619373,0.0,1538.68796631919,16.8021587761708,2015-02-01 13:00:00,73.4952698678432
24.1557716871195,San Francisco,839.986292719363,59.0453529683592,0.706069231698084,1527.24724693416,16.3618138863587,2015-02-01 14:00:00,73.31450650155973
24.6239667008986,San Francisco,869.79883435028,58.6463735664569,282.383913679191,1515.73707354461,16.6119173985568,2015-02-01 15:00:00,73.13264576200484
24.6745340069892,San Francisco,1306.80096394015,57.4621953745106,1021.43563721612,1542.18393507305,17.6291908371016,2015-02-01 16:00:00,73.5505061741542
24.67624053126,San Francisco,961.307439351109,55.3649068066602,1663.0277044407,1588.25827233117,18.6509677192941,2015-02-01 17:00:00,74.27848070283248
24.4406619541375,San Francisco,872.714198984194,53.4494103942168,1897.3288743702,1589.66940340758,18.9308845366185,2015-02-01 18:00:00,74.30077657383976
24.5795233905917,San Francisco,823.317977618843,45.5679739947922,2327.34197059513,1615.7766931141,20.4837972539578,2015-02-01 19:00:00,74.71327175120278
25.7045232946986,San Francisco,858.21567858405,40.6164275562183,3601.55851246928,1641.90924545737,22.3071510581788,2015-02-01 20:00:00,75.12616607822645
27.1907860742521,San Francisco,815.118650712093,35.6112311846988,3191.36120532744,1626.29654905173,23.5816390005231,2015-02-01 21:00:00,74.87948547501733
25.6081920114042,San Francisco,783.441025935877,30.8838662087552,2187.57583650521,1643.43709146188,23.4908494775388,2015-02-01 22:00:00,75.15030604509771
25.0521216311946,San Francisco,757.993746666299,29.9241130622639,1592.60775851743,1636.59444908787,24.017251514953,2015-02-01 23:00:00,75.04219229558835
26.3521728597562,San Francisco,749.206165750299,31.8814979645657,673.925209637644,1638.51473102318,23.182606037056,2015-02-02 00:00:00,75.07253275016625
26.6320028263435,San Francisco,797.00069258118,37.5607961094573,86.9521909464366,1623.39432284392,21.4366984961395,2015-02-02 01:00:00,74.83363030093393
26.0772322126807,San Francisco,806.752818019529,44.1459678280743,0.224795998947091,1601.59009962852,20.2532957679164,2015-02-02 02:00:00,74.48912357413062
27.9200542014303,San Francisco,896.073007928133,45.3351573645518,0.0940949372641923,1603.66852390141,19.9003079736392,2015-02-02 03:00:00,74.52196267764228
30.6130836838265,San Francisco,1174.28920614906,45.7515825272319,0.0684788992365131,1628.569015746,20.071512182329,2015-02-02 04:00:00,74.91539044878681
30.8114537349269,San Francisco,1211.08268510649,45.2639542094195,0.0172535211267606,1634.01318279118,20.1239620017842,2015-02-02 05:00:00,75.00140828810065
32.7574006220927,San Francisco,1075.2816099126,45.862219803322,0.00333333333333333,1611.96069385459,20.0168585534608,2015-02-02 06:00:00,74.65297896290252
32.6186208760983,San Francisco,1064.51969933974,48.6958810904475,0.0,1603.57705448263,19.4616256903733,2015-02-02 07:00:00,74.52051746082556
33.4302813910048,San Francisco,941.034002015112,51.3859719612795,0.00675186882083434,1628.94290984018,18.9285331236783,2015-02-02 08:00:00,74.92129797547484
33.5960402575668,San Francisco,868.825556485622,51.3931408958501,0.00354969574036511,1602.56513124164,18.9418344839592,2015-02-02 09:00:00,74.50452907361792
30.6313553878566,San Francisco,910.556523401491,52.9482376684024,0.0,1584.53884123388,18.3652819055531,2015-02-02 10:00:00,74.2197136914953
26.4433546495566,San Francisco,957.380198446957,55.1397901931972,0.00368518031060806,1525.8361113039,17.1477081280256,2015-02-02 11:00:00,73.29221055860162
26.7387205631592,San Francisco,950.420698617262,55.2998626707838,0.00353535353535354,1548.12587290561,16.9023558932956,2015-02-02 12:00:00,73.64438879190864
